2011,1,1,좋은 날,아이유,Real,댄스,2010.12.09,134776,"['말', 'beautiful', '위', '하늘', '고개']"
2011,1,2,Oh Yeah ,GD&TOP,GD&TOP,랩/힙합,2010.12.24,29231,"['oh', 'i', 'yeah', 'you', 'like']"
2011,1,3,High High,GD&TOP,GD&TOP,랩/힙합,2010.12.24,28998,"['high', 'go', 'T', 'ha', 'E']"
2011,1,4,니까짓게,씨스타,니까짓게,댄스,2010.12.03,11969,"['baby', '사랑', 'up', 'sorry', 'Sistar']"
2011,1,5,샤이보이,시크릿,샤이보이,댄스,2011.01.06,16615,"['Oh', 'Boy', 'Shy', 'Time', '밥']"
2011,1,6,사랑이 고프다 ,박효신,Gift (Part.2),발라드,2010.12.13,26964,"['You', 'Promise', 'I', '혼자', '날']"
2011,1,7,나쁜 남자,JOO,Heartmade,발라드,2011.01.04,17088,"['남자', 'sorry', 'so', 'm', 'I']"
2011,1,8,뻑이가요,GD&TOP,GD&TOP,랩/힙합,2010.12.24,13704,[]
2011,1,9,왜 이러니,티아라,왜 이러니,댄스,2010.11.23,10911,"['Knock', 'you', 'me', 'now', 'S']"
2011,1,10,yayaya,티아라,Vol.2 Temptastic,댄스,2010.12.01,6042,"['U', 'Go', 'it', 'Ah', 'me']"
2011,1,11,니가 따끔거려서,제아,니가 따끔거려서,발라드,2010.12.28,2852,"['하루', '말', '추억', '머리', '사랑']"
2011,1,12,가지 말아요,지아,겨울에 내리는 눈물,발라드,2010.12.23,1948,"['사랑', '한참', '소리', '말', '시간']"
2011,1,13,왜 ,동방신기 (TVXQ!),왜 (Keep Your Head Down),댄스,2011.01.05,15279,"['Keep', '사랑', '꿈', 'down', 'head']"
2011,1,14,똑같다면,브라운 아이드 소울,Browneyed Soul,R&B/Soul,2010.11.25,33317,"['오랫동안', '품', '손', '기억', '길']"
2011,1,15,별처럼,태연 (TAEYEON),별처럼,발라드,2010.11.17,44283,"['별', '하늘', '영원', 'me', 'to']"
2011,1,16,이게 아닌데,아이유,Real,발라드,2010.12.09,37096,"['말', '게', '거짓말', '농담', '입술']"
2011,1,17,처음 사랑하는 연인들을 위해 ,정용화 (CNBLUE),처음 사랑하는 연인들을 위해 (부제 반말송),발라드,2011.01.14,32160,"['사이', '눈', '이제', '대신', '말투']"
2011,1,18,Bad Temper,가인,Bad Temper,댄스,2010.12.21,5423,"['about', 'I', 'talk', 'don', 't']"
2011,1,19,점핑 ,카라,점핑,댄스,2010.11.10,10240,"['Jumpin', 'up', 'me', 'take', 'on']"
2011,1,20,집에 가지마,GD&TOP,GD&TOP,랩/힙합,2010.12.24,34036,[]
2011,1,21,훗 ,소녀시대 (GIRLS' GENERATION),훗 (Hoot) The 3rd Mini Album,댄스,2010.10.25,19258,"['Trouble', '상처', '배', '독', '갑옷']"
2011,1,22,언제나,허각,언제나,발라드,2010.11.04,23684,"['사랑', '시간', '세상', '사람', '생각']"
2011,1,23,행복한 나를 ,허각,허각 1st 미니앨범,발라드,2010.11.16,43217,"['사랑', '지금', '이제', '하루', '마음']"
2011,1,24,미리 메리 크리스마스 ,아이유,Real,댄스,2010.12.09,147911,"['you', 'I', 'know', '사랑', 'You']"
2011,1,25,아잉♡,오렌지 캬라멜,아잉♡,댄스,2010.11.18,14927,"['사랑', '나나', '남자', '간질', '징글']"
2011,1,26,Beautiful,비스트,Lights Go On Again,댄스,2010.11.09,30245,"['you', 'oh', 'girl', 'my', 'U']"
2011,1,27,전활 받지 않는 너에게,2AM,Saint oclock,발라드,2010.10.26,24867,"['처음', '앞', '집', '사람', '날']"
2011,1,28,그땐 그땐 그땐,Supreme Team,Ames Room,랩/힙합,2010.10.01,90836,"['그때', '불안', '맘', '후회', '게']"
2011,1,29,문이 닫히면,윤두준,My Story,발라드,2010.12.21,17621,"['사람', '눈물', '추억', '행복', '모습']"
2011,1,30,뭐해?,포맨,2010 YWHO Winter Serenade,발라드,2010.12.22,5588,"['baby', 'lady', '표현', '말', 'bay']"
2011,1,31,눈부신 눈물,디셈버,A Story To The Sky,발라드,2010.11.01,23144,"['마지막', '오늘', '본적', '생각', '말']"
2011,1,32,같이 살자,김지수,야차 Meets 슈퍼스타K2,발라드,2010.12.24,9884,"['평생', '위험', '운명', '사랑', '사람']"
2011,1,33,하늘을 달리다,허각,허각 1st 미니앨범,발라드,2010.11.16,14467,"['목소리', '귓가', '때', '이름', '마음속']"
